zip code tabulation area,NAME,B02001_001E,B02001_001M,B02001_002E,B02001_002M,B02001_003E,B02001_003M,B02001_004E,B02001_004M,B02001_005E,B02001_005M,B02001_006E,B02001_006M,B02001_007E,B02001_007M,B02001_008E,B02001_008M,B02001_009E,B02001_009M,B02001_010E,B02001_010M,GEO_ID,B01003_001E,B19101C_001E,B19101C_001M,B19101C_002E,B19101C_002M,B19101C_003E,B19101C_003M,B19101C_004E,B19101C_004M,B19101C_005E,B19101C_005M,B19101C_006E,B19101C_006M,B19101C_007E,B19101C_007M,B19101C_008E,B19101C_008M,B19101C_009E,B19101C_009M,B19101C_010E,B19101C_010M,B19101C_011E,B19101C_011M,B19101C_012E,B19101C_012M,B19101C_013E,B19101C_013M,B19101C_014E,B19101C_014M,B19101C_015E,B19101C_015M,B19101C_016E,B19101C_016M,B19101C_017E,B19101C_017M,B19083_001E,B25003_001E,B25003_001M,B25003_002E,B25003_002M,B25003_003E,B25003_003M
94027,ZCTA5 94027,7030,40,4909,334,57,54,4,6,1304,317,13,18,111,82,632,161,249,101,383,130,860Z200US94027,7030,4,6,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,4,6,0.5178,2275,151,1989,153,286,143
94022,ZCTA5 94022,19993,773,10266,741,16,32,22,28,8165,758,51,65,270,148,1203,243,364,173,839,209,860Z200US94022,19993,19,28,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,19,28,0.5045,7268,264,5862,304,1406,219
94301,ZCTA5 94301,17126,1106,10136,843,377,272,2,3,4478,647,55,54,187,83,1891,540,618,246,1273,481,860Z200US94301,17126,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0.5113,7080,423,3653,358,3427,352
94028,ZCTA5 94028,6645,633,5213,403,10,17,0,19,514,223,0,19,436,603,472,231,313,209,159,105,860Z200US94028,6645,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0.4950,2625,238,2220,242,405,158
94024,ZCTA5 94024,23673,934,12529,922,326,295,3,35,8373,747,85,122,479,257,1878,465,861,417,1017,310,860Z200US94024,23673,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0.4765,8016,354,7063,395,953,186
90402,ZCTA5 90402,11178,751,8560,752,71,58,41,62,1257,520,0,21,120,150,1129,334,424,194,705,244,860Z200US90402,11178,23,34,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,5,13,18,30,0.5857,4742,310,3499,281,1243,272
92657,ZCTA5 92657,10224,843,7281,812,30,41,0,21,1985,489,11,19,163,134,754,341,374,245,380,216,860Z200US92657,10224,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0.5077,3810,285,2726,276,1084,284
90077,ZCTA5 90077,8158,1083,6355,1006,93,80,0,19,815,362,0,19,178,138,717,349,366,318,351,168,860Z200US90077,8158,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0.5616,3225,293,2700,271,525,172
90272,ZCTA5 90272,21438,1655,17703,1726,198,154,0,25,1379,336,0,25,152,80,2006,480,582,218,1424,429,860Z200US90272,21438,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0.5538,8282,440,6413,458,1869,282
95070,ZCTA5 95070,31383,352,10903,891,24,33,41,60,18392,924,0,29,164,109,1859,402,468,215,1391,323,860Z200US95070,31383,3,10,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,3,10,0,29,0,29,0.4751,11124,382,9636,412,1488,248
